instance_id,best_known_bins,status,source,checked_date
Hard28_BPP119,77,OPTIMAL,https://github.com/mdelorme2/BPPLIB/blob/master/Instances/Solutions/Solutions.xlsx (Schoenfield Hard28; LB=77; UB=77),2026-07-01
Schwerin1_BPP15,18,OPTIMAL,https://github.com/mdelorme2/BPPLIB/blob/master/Instances/Solutions/Solutions.xlsx (Schwerin; LB=18; UB=18),2026-07-01
Schwerin1_BPP16,18,OPTIMAL,https://github.com/mdelorme2/BPPLIB/blob/master/Instances/Solutions/Solutions.xlsx (Schwerin; LB=18; UB=18),2026-07-01
Schwerin1_BPP17,18,OPTIMAL,https://github.com/mdelorme2/BPPLIB/blob/master/Instances/Solutions/Solutions.xlsx (Schwerin; LB=18; UB=18),2026-07-01
Schwerin1_BPP18,18,OPTIMAL,https://github.com/mdelorme2/BPPLIB/blob/master/Instances/Solutions/Solutions.xlsx (Schwerin; LB=18; UB=18),2026-07-01
Schwerin1_BPP19,18,OPTIMAL,https://github.com/mdelorme2/BPPLIB/blob/master/Instances/Solutions/Solutions.xlsx (Schwerin; LB=18; UB=18),2026-07-01
Schwerin1_BPP2,18,OPTIMAL,https://github.com/mdelorme2/BPPLIB/blob/master/Instances/Solutions/Solutions.xlsx (Schwerin; LB=18; UB=18),2026-07-01
Schwerin1_BPP20,18,OPTIMAL,https://github.com/mdelorme2/BPPLIB/blob/master/Instances/Solutions/Solutions.xlsx (Schwerin; LB=18; UB=18),2026-07-01
Schwerin1_BPP21,18,OPTIMAL,https://github.com/mdelorme2/BPPLIB/blob/master/Instances/Solutions/Solutions.xlsx (Schwerin; LB=18; UB=18),2026-07-01
Schwerin1_BPP22,18,OPTIMAL,https://github.com/mdelorme2/BPPLIB/blob/master/Instances/Solutions/Solutions.xlsx (Schwerin; LB=18; UB=18),2026-07-01
Schwerin1_BPP23,18,OPTIMAL,https://github.com/mdelorme2/BPPLIB/blob/master/Instances/Solutions/Solutions.xlsx (Schwerin; LB=18; UB=18),2026-07-01
Schwerin1_BPP24,18,OPTIMAL,https://github.com/mdelorme2/BPPLIB/blob/master/Instances/Solutions/Solutions.xlsx (Schwerin; LB=18; UB=18),2026-07-01
Schwerin1_BPP25,18,OPTIMAL,https://github.com/mdelorme2/BPPLIB/blob/master/Instances/Solutions/Solutions.xlsx (Schwerin; LB=18; UB=18),2026-07-01
Schwerin1_BPP26,18,OPTIMAL,https://github.com/mdelorme2/BPPLIB/blob/master/Instances/Solutions/Solutions.xlsx (Schwerin; LB=18; UB=18),2026-07-01
Schwerin1_BPP27,18,OPTIMAL,https://github.com/mdelorme2/BPPLIB/blob/master/Instances/Solutions/Solutions.xlsx (Schwerin; LB=18; UB=18),2026-07-01
Schwerin1_BPP28,18,OPTIMAL,https://github.com/mdelorme2/BPPLIB/blob/master/Instances/Solutions/Solutions.xlsx (Schwerin; LB=18; UB=18),2026-07-01
Schwerin1_BPP29,18,OPTIMAL,https://github.com/mdelorme2/BPPLIB/blob/master/Instances/Solutions/Solutions.xlsx (Schwerin; LB=18; UB=18),2026-07-01
Schwerin1_BPP3,18,OPTIMAL,https://github.com/mdelorme2/BPPLIB/blob/master/Instances/Solutions/Solutions.xlsx (Schwerin; LB=18; UB=18),2026-07-01
Schwerin1_BPP30,18,OPTIMAL,https://github.com/mdelorme2/BPPLIB/blob/master/Instances/Solutions/Solutions.xlsx (Schwerin; LB=18; UB=18),2026-07-01
Schwerin1_BPP31,18,OPTIMAL,https://github.com/mdelorme2/BPPLIB/blob/master/Instances/Solutions/Solutions.xlsx (Schwerin; LB=18; UB=18),2026-07-01
Schwerin1_BPP32,18,OPTIMAL,https://github.com/mdelorme2/BPPLIB/blob/master/Instances/Solutions/Solutions.xlsx (Schwerin; LB=18; UB=18),2026-07-01
Schwerin1_BPP33,18,OPTIMAL,https://github.com/mdelorme2/BPPLIB/blob/master/Instances/Solutions/Solutions.xlsx (Schwerin; LB=18; UB=18),2026-07-01
Schwerin1_BPP34,18,OPTIMAL,https://github.com/mdelorme2/BPPLIB/blob/master/Instances/Solutions/Solutions.xlsx (Schwerin; LB=18; UB=18),2026-07-01
Schwerin1_BPP35,18,OPTIMAL,https://github.com/mdelorme2/BPPLIB/blob/master/Instances/Solutions/Solutions.xlsx (Schwerin; LB=18; UB=18),2026-07-01
Schwerin1_BPP36,18,OPTIMAL,https://github.com/mdelorme2/BPPLIB/blob/master/Instances/Solutions/Solutions.xlsx (Schwerin; LB=18; UB=18),2026-07-01
Schwerin1_BPP37,18,OPTIMAL,https://github.com/mdelorme2/BPPLIB/blob/master/Instances/Solutions/Solutions.xlsx (Schwerin; LB=18; UB=18),2026-07-01
Schwerin1_BPP38,18,OPTIMAL,https://github.com/mdelorme2/BPPLIB/blob/master/Instances/Solutions/Solutions.xlsx (Schwerin; LB=18; UB=18),2026-07-01
Schwerin1_BPP39,18,OPTIMAL,https://github.com/mdelorme2/BPPLIB/blob/master/Instances/Solutions/Solutions.xlsx (Schwerin; LB=18; UB=18),2026-07-01
Schwerin1_BPP4,18,OPTIMAL,https://github.com/mdelorme2/BPPLIB/blob/master/Instances/Solutions/Solutions.xlsx (Schwerin; LB=18; UB=18),2026-07-01
Schwerin1_BPP40,18,OPTIMAL,https://github.com/mdelorme2/BPPLIB/blob/master/Instances/Solutions/Solutions.xlsx (Schwerin; LB=18; UB=18),2026-07-01
Schwerin1_BPP41,18,OPTIMAL,https://github.com/mdelorme2/BPPLIB/blob/master/Instances/Solutions/Solutions.xlsx (Schwerin; LB=18; UB=18),2026-07-01
Schwerin1_BPP42,18,OPTIMAL,https://github.com/mdelorme2/BPPLIB/blob/master/Instances/Solutions/Solutions.xlsx (Schwerin; LB=18; UB=18),2026-07-01
Schwerin1_BPP43,18,OPTIMAL,https://github.com/mdelorme2/BPPLIB/blob/master/Instances/Solutions/Solutions.xlsx (Schwerin; LB=18; UB=18),2026-07-01
Schwerin1_BPP44,18,OPTIMAL,https://github.com/mdelorme2/BPPLIB/blob/master/Instances/Solutions/Solutions.xlsx (Schwerin; LB=18; UB=18),2026-07-01
Schwerin1_BPP45,18,OPTIMAL,https://github.com/mdelorme2/BPPLIB/blob/master/Instances/Solutions/Solutions.xlsx (Schwerin; LB=18; UB=18),2026-07-01
Schwerin1_BPP46,18,OPTIMAL,https://github.com/mdelorme2/BPPLIB/blob/master/Instances/Solutions/Solutions.xlsx (Schwerin; LB=18; UB=18),2026-07-01
Schwerin1_BPP47,18,OPTIMAL,https://github.com/mdelorme2/BPPLIB/blob/master/Instances/Solutions/Solutions.xlsx (Schwerin; LB=18; UB=18),2026-07-01
Schwerin1_BPP48,18,OPTIMAL,https://github.com/mdelorme2/BPPLIB/blob/master/Instances/Solutions/Solutions.xlsx (Schwerin; LB=18; UB=18),2026-07-01
Schwerin1_BPP49,18,OPTIMAL,https://github.com/mdelorme2/BPPLIB/blob/master/Instances/Solutions/Solutions.xlsx (Schwerin; LB=18; UB=18),2026-07-01
Schwerin1_BPP5,18,OPTIMAL,https://github.com/mdelorme2/BPPLIB/blob/master/Instances/Solutions/Solutions.xlsx (Schwerin; LB=18; UB=18),2026-07-01
Schwerin1_BPP50,18,OPTIMAL,https://github.com/mdelorme2/BPPLIB/blob/master/Instances/Solutions/Solutions.xlsx (Schwerin; LB=18; UB=18),2026-07-01
Schwerin1_BPP51,18,OPTIMAL,https://github.com/mdelorme2/BPPLIB/blob/master/Instances/Solutions/Solutions.xlsx (Schwerin; LB=18; UB=18),2026-07-01
Schwerin1_BPP52,18,OPTIMAL,https://github.com/mdelorme2/BPPLIB/blob/master/Instances/Solutions/Solutions.xlsx (Schwerin; LB=18; UB=18),2026-07-01
Schwerin1_BPP53,18,OPTIMAL,https://github.com/mdelorme2/BPPLIB/blob/master/Instances/Solutions/Solutions.xlsx (Schwerin; LB=18; UB=18),2026-07-01
Schwerin1_BPP54,18,OPTIMAL,https://github.com/mdelorme2/BPPLIB/blob/master/Instances/Solutions/Solutions.xlsx (Schwerin; LB=18; UB=18),2026-07-01
Schwerin1_BPP55,18,OPTIMAL,https://github.com/mdelorme2/BPPLIB/blob/master/Instances/Solutions/Solutions.xlsx (Schwerin; LB=18; UB=18),2026-07-01
Schwerin1_BPP56,18,OPTIMAL,https://github.com/mdelorme2/BPPLIB/blob/master/Instances/Solutions/Solutions.xlsx (Schwerin; LB=18; UB=18),2026-07-01
Schwerin1_BPP57,18,OPTIMAL,https://github.com/mdelorme2/BPPLIB/blob/master/Instances/Solutions/Solutions.xlsx (Schwerin; LB=18; UB=18),2026-07-01
Schwerin1_BPP58,18,OPTIMAL,https://github.com/mdelorme2/BPPLIB/blob/master/Instances/Solutions/Solutions.xlsx (Schwerin; LB=18; UB=18),2026-07-01
Schwerin1_BPP59,18,OPTIMAL,https://github.com/mdelorme2/BPPLIB/blob/master/Instances/Solutions/Solutions.xlsx (Schwerin; LB=18; UB=18),2026-07-01
Schwerin1_BPP6,18,OPTIMAL,https://github.com/mdelorme2/BPPLIB/blob/master/Instances/Solutions/Solutions.xlsx (Schwerin; LB=18; UB=18),2026-07-01
Schwerin1_BPP60,18,OPTIMAL,https://github.com/mdelorme2/BPPLIB/blob/master/Instances/Solutions/Solutions.xlsx (Schwerin; LB=18; UB=18),2026-07-01
Schwerin1_BPP61,18,OPTIMAL,https://github.com/mdelorme2/BPPLIB/blob/master/Instances/Solutions/Solutions.xlsx (Schwerin; LB=18; UB=18),2026-07-01
Schwerin1_BPP62,18,OPTIMAL,https://github.com/mdelorme2/BPPLIB/blob/master/Instances/Solutions/Solutions.xlsx (Schwerin; LB=18; UB=18),2026-07-01
Schwerin1_BPP63,18,OPTIMAL,https://github.com/mdelorme2/BPPLIB/blob/master/Instances/Solutions/Solutions.xlsx (Schwerin; LB=18; UB=18),2026-07-01
Schwerin1_BPP64,18,OPTIMAL,https://github.com/mdelorme2/BPPLIB/blob/master/Instances/Solutions/Solutions.xlsx (Schwerin; LB=18; UB=18),2026-07-01
Schwerin1_BPP65,18,OPTIMAL,https://github.com/mdelorme2/BPPLIB/blob/master/Instances/Solutions/Solutions.xlsx (Schwerin; LB=18; UB=18),2026-07-01
Schwerin1_BPP66,18,OPTIMAL,https://github.com/mdelorme2/BPPLIB/blob/master/Instances/Solutions/Solutions.xlsx (Schwerin; LB=18; UB=18),2026-07-01
Schwerin1_BPP67,18,OPTIMAL,https://github.com/mdelorme2/BPPLIB/blob/master/Instances/Solutions/Solutions.xlsx (Schwerin; LB=18; UB=18),2026-07-01
Schwerin1_BPP68,18,OPTIMAL,https://github.com/mdelorme2/BPPLIB/blob/master/Instances/Solutions/Solutions.xlsx (Schwerin; LB=18; UB=18),2026-07-01
Schwerin1_BPP69,18,OPTIMAL,https://github.com/mdelorme2/BPPLIB/blob/master/Instances/Solutions/Solutions.xlsx (Schwerin; LB=18; UB=18),2026-07-01
Schwerin1_BPP7,18,OPTIMAL,https://github.com/mdelorme2/BPPLIB/blob/master/Instances/Solutions/Solutions.xlsx (Schwerin; LB=18; UB=18),2026-07-01
Schwerin1_BPP70,18,OPTIMAL,https://github.com/mdelorme2/BPPLIB/blob/master/Instances/Solutions/Solutions.xlsx (Schwerin; LB=18; UB=18),2026-07-01
Schwerin1_BPP71,18,OPTIMAL,https://github.com/mdelorme2/BPPLIB/blob/master/Instances/Solutions/Solutions.xlsx (Schwerin; LB=18; UB=18),2026-07-01
Schwerin1_BPP72,18,OPTIMAL,https://github.com/mdelorme2/BPPLIB/blob/master/Instances/Solutions/Solutions.xlsx (Schwerin; LB=18; UB=18),2026-07-01
Schwerin1_BPP73,18,OPTIMAL,https://github.com/mdelorme2/BPPLIB/blob/master/Instances/Solutions/Solutions.xlsx (Schwerin; LB=18; UB=18),2026-07-01
Schwerin1_BPP74,18,OPTIMAL,https://github.com/mdelorme2/BPPLIB/blob/master/Instances/Solutions/Solutions.xlsx (Schwerin; LB=18; UB=18),2026-07-01
Schwerin1_BPP75,18,OPTIMAL,https://github.com/mdelorme2/BPPLIB/blob/master/Instances/Solutions/Solutions.xlsx (Schwerin; LB=18; UB=18),2026-07-01
Schwerin1_BPP76,18,OPTIMAL,https://github.com/mdelorme2/BPPLIB/blob/master/Instances/Solutions/Solutions.xlsx (Schwerin; LB=18; UB=18),2026-07-01
Schwerin1_BPP77,18,OPTIMAL,https://github.com/mdelorme2/BPPLIB/blob/master/Instances/Solutions/Solutions.xlsx (Schwerin; LB=18; UB=18),2026-07-01
Schwerin1_BPP78,18,OPTIMAL,https://github.com/mdelorme2/BPPLIB/blob/master/Instances/Solutions/Solutions.xlsx (Schwerin; LB=18; UB=18),2026-07-01
Schwerin1_BPP79,18,OPTIMAL,https://github.com/mdelorme2/BPPLIB/blob/master/Instances/Solutions/Solutions.xlsx (Schwerin; LB=18; UB=18),2026-07-01
Schwerin1_BPP8,18,OPTIMAL,https://github.com/mdelorme2/BPPLIB/blob/master/Instances/Solutions/Solutions.xlsx (Schwerin; LB=18; UB=18),2026-07-01
Schwerin1_BPP80,18,OPTIMAL,https://github.com/mdelorme2/BPPLIB/blob/master/Instances/Solutions/Solutions.xlsx (Schwerin; LB=18; UB=18),2026-07-01
Schwerin1_BPP81,18,OPTIMAL,https://github.com/mdelorme2/BPPLIB/blob/master/Instances/Solutions/Solutions.xlsx (Schwerin; LB=18; UB=18),2026-07-01
Schwerin1_BPP82,18,OPTIMAL,https://github.com/mdelorme2/BPPLIB/blob/master/Instances/Solutions/Solutions.xlsx (Schwerin; LB=18; UB=18),2026-07-01
Schwerin1_BPP83,18,OPTIMAL,https://github.com/mdelorme2/BPPLIB/blob/master/Instances/Solutions/Solutions.xlsx (Schwerin; LB=18; UB=18),2026-07-01
Schwerin1_BPP84,18,OPTIMAL,https://github.com/mdelorme2/BPPLIB/blob/master/Instances/Solutions/Solutions.xlsx (Schwerin; LB=18; UB=18),2026-07-01
Schwerin1_BPP85,18,OPTIMAL,https://github.com/mdelorme2/BPPLIB/blob/master/Instances/Solutions/Solutions.xlsx (Schwerin; LB=18; UB=18),2026-07-01
Schwerin1_BPP86,18,OPTIMAL,https://github.com/mdelorme2/BPPLIB/blob/master/Instances/Solutions/Solutions.xlsx (Schwerin; LB=18; UB=18),2026-07-01
Schwerin1_BPP87,18,OPTIMAL,https://github.com/mdelorme2/BPPLIB/blob/master/Instances/Solutions/Solutions.xlsx (Schwerin; LB=18; UB=18),2026-07-01
Schwerin1_BPP88,18,OPTIMAL,https://github.com/mdelorme2/BPPLIB/blob/master/Instances/Solutions/Solutions.xlsx (Schwerin; LB=18; UB=18),2026-07-01
Schwerin1_BPP89,18,OPTIMAL,https://github.com/mdelorme2/BPPLIB/blob/master/Instances/Solutions/Solutions.xlsx (Schwerin; LB=18; UB=18),2026-07-01
Schwerin1_BPP9,18,OPTIMAL,https://github.com/mdelorme2/BPPLIB/blob/master/Instances/Solutions/Solutions.xlsx (Schwerin; LB=18; UB=18),2026-07-01
Schwerin1_BPP90,18,OPTIMAL,https://github.com/mdelorme2/BPPLIB/blob/master/Instances/Solutions/Solutions.xlsx (Schwerin; LB=18; UB=18),2026-07-01
Schwerin1_BPP91,18,OPTIMAL,https://github.com/mdelorme2/BPPLIB/blob/master/Instances/Solutions/Solutions.xlsx (Schwerin; LB=18; UB=18),2026-07-01
Schwerin1_BPP92,18,OPTIMAL,https://github.com/mdelorme2/BPPLIB/blob/master/Instances/Solutions/Solutions.xlsx (Schwerin; LB=18; UB=18),2026-07-01
Schwerin1_BPP93,18,OPTIMAL,https://github.com/mdelorme2/BPPLIB/blob/master/Instances/Solutions/Solutions.xlsx (Schwerin; LB=18; UB=18),2026-07-01
Schwerin1_BPP94,18,OPTIMAL,https://github.com/mdelorme2/BPPLIB/blob/master/Instances/Solutions/Solutions.xlsx (Schwerin; LB=18; UB=18),2026-07-01
Schwerin1_BPP95,18,OPTIMAL,https://github.com/mdelorme2/BPPLIB/blob/master/Instances/Solutions/Solutions.xlsx (Schwerin; LB=18; UB=18),2026-07-01
Schwerin1_BPP96,18,OPTIMAL,https://github.com/mdelorme2/BPPLIB/blob/master/Instances/Solutions/Solutions.xlsx (Schwerin; LB=18; UB=18),2026-07-01
Schwerin1_BPP97,18,OPTIMAL,https://github.com/mdelorme2/BPPLIB/blob/master/Instances/Solutions/Solutions.xlsx (Schwerin; LB=18; UB=18),2026-07-01
Schwerin1_BPP98,18,OPTIMAL,https://github.com/mdelorme2/BPPLIB/blob/master/Instances/Solutions/Solutions.xlsx (Schwerin; LB=18; UB=18),2026-07-01
Schwerin1_BPP99,18,OPTIMAL,https://github.com/mdelorme2/BPPLIB/blob/master/Instances/Solutions/Solutions.xlsx (Schwerin; LB=18; UB=18),2026-07-01
Schwerin2_BPP1,22,OPTIMAL,https://github.com/mdelorme2/BPPLIB/blob/master/Instances/Solutions/Solutions.xlsx (Schwerin; LB=22; UB=22),2026-07-01
Schwerin2_BPP10,21,OPTIMAL,https://github.com/mdelorme2/BPPLIB/blob/master/Instances/Solutions/Solutions.xlsx (Schwerin; LB=21; UB=21),2026-07-01
Schwerin2_BPP100,22,OPTIMAL,https://github.com/mdelorme2/BPPLIB/blob/master/Instances/Solutions/Solutions.xlsx (Schwerin; LB=22; UB=22),2026-07-01
Schwerin2_BPP11,22,OPTIMAL,https://github.com/mdelorme2/BPPLIB/blob/master/Instances/Solutions/Solutions.xlsx (Schwerin; LB=22; UB=22),2026-07-01
Schwerin2_BPP12,22,OPTIMAL,https://github.com/mdelorme2/BPPLIB/blob/master/Instances/Solutions/Solutions.xlsx (Schwerin; LB=22; UB=22),2026-07-01
Schwerin2_BPP13,22,OPTIMAL,https://github.com/mdelorme2/BPPLIB/blob/master/Instances/Solutions/Solutions.xlsx (Schwerin; LB=22; UB=22),2026-07-01
Schwerin2_BPP14,22,OPTIMAL,https://github.com/mdelorme2/BPPLIB/blob/master/Instances/Solutions/Solutions.xlsx (Schwerin; LB=22; UB=22),2026-07-01
Schwerin2_BPP15,22,OPTIMAL,https://github.com/mdelorme2/BPPLIB/blob/master/Instances/Solutions/Solutions.xlsx (Schwerin; LB=22; UB=22),2026-07-01
Schwerin2_BPP16,22,OPTIMAL,https://github.com/mdelorme2/BPPLIB/blob/master/Instances/Solutions/Solutions.xlsx (Schwerin; LB=22; UB=22),2026-07-01
Schwerin2_BPP17,22,OPTIMAL,https://github.com/mdelorme2/BPPLIB/blob/master/Instances/Solutions/Solutions.xlsx (Schwerin; LB=22; UB=22),2026-07-01
Schwerin2_BPP18,22,OPTIMAL,https://github.com/mdelorme2/BPPLIB/blob/master/Instances/Solutions/Solutions.xlsx (Schwerin; LB=22; UB=22),2026-07-01
Schwerin2_BPP19,22,OPTIMAL,https://github.com/mdelorme2/BPPLIB/blob/master/Instances/Solutions/Solutions.xlsx (Schwerin; LB=22; UB=22),2026-07-01
Schwerin2_BPP2,22,OPTIMAL,https://github.com/mdelorme2/BPPLIB/blob/master/Instances/Solutions/Solutions.xlsx (Schwerin; LB=22; UB=22),2026-07-01
Schwerin2_BPP20,22,OPTIMAL,https://github.com/mdelorme2/BPPLIB/blob/master/Instances/Solutions/Solutions.xlsx (Schwerin; LB=22; UB=22),2026-07-01
Schwerin2_BPP21,22,OPTIMAL,https://github.com/mdelorme2/BPPLIB/blob/master/Instances/Solutions/Solutions.xlsx (Schwerin; LB=22; UB=22),2026-07-01
Schwerin2_BPP22,22,OPTIMAL,https://github.com/mdelorme2/BPPLIB/blob/master/Instances/Solutions/Solutions.xlsx (Schwerin; LB=22; UB=22),2026-07-01
Schwerin2_BPP23,22,OPTIMAL,https://github.com/mdelorme2/BPPLIB/blob/master/Instances/Solutions/Solutions.xlsx (Schwerin; LB=22; UB=22),2026-07-01
Schwerin2_BPP24,22,OPTIMAL,https://github.com/mdelorme2/BPPLIB/blob/master/Instances/Solutions/Solutions.xlsx (Schwerin; LB=22; UB=22),2026-07-01
Schwerin2_BPP25,22,OPTIMAL,https://github.com/mdelorme2/BPPLIB/blob/master/Instances/Solutions/Solutions.xlsx (Schwerin; LB=22; UB=22),2026-07-01
Schwerin2_BPP26,22,OPTIMAL,https://github.com/mdelorme2/BPPLIB/blob/master/Instances/Solutions/Solutions.xlsx (Schwerin; LB=22; UB=22),2026-07-01
Schwerin2_BPP27,21,OPTIMAL,https://github.com/mdelorme2/BPPLIB/blob/master/Instances/Solutions/Solutions.xlsx (Schwerin; LB=21; UB=21),2026-07-01
Schwerin2_BPP28,22,OPTIMAL,https://github.com/mdelorme2/BPPLIB/blob/master/Instances/Solutions/Solutions.xlsx (Schwerin; LB=22; UB=22),2026-07-01
Schwerin2_BPP29,21,OPTIMAL,https://github.com/mdelorme2/BPPLIB/blob/master/Instances/Solutions/Solutions.xlsx (Schwerin; LB=21; UB=21),2026-07-01
Schwerin2_BPP3,22,OPTIMAL,https://github.com/mdelorme2/BPPLIB/blob/master/Instances/Solutions/Solutions.xlsx (Schwerin; LB=22; UB=22),2026-07-01
Schwerin2_BPP30,22,OPTIMAL,https://github.com/mdelorme2/BPPLIB/blob/master/Instances/Solutions/Solutions.xlsx (Schwerin; LB=22; UB=22),2026-07-01
Schwerin2_BPP31,22,OPTIMAL,https://github.com/mdelorme2/BPPLIB/blob/master/Instances/Solutions/Solutions.xlsx (Schwerin; LB=22; UB=22),2026-07-01
