instance_id,best_known_value,status,source,checked_date
tai100_5_01,5268,BEST_KNOWN,CO-Bench/CO-Bench Flow shop scheduling (Taillard instances); https://huggingface.co/datasets/CO-Bench/CO-Bench,2026-07-01
tai100_5_02,5175,BEST_KNOWN,CO-Bench/CO-Bench Flow shop scheduling (Taillard instances); https://huggingface.co/datasets/CO-Bench/CO-Bench,2026-07-01
tai100_5_03,5014,BEST_KNOWN,CO-Bench/CO-Bench Flow shop scheduling (Taillard instances); https://huggingface.co/datasets/CO-Bench/CO-Bench,2026-07-01
tai100_5_04,5250,BEST_KNOWN,CO-Bench/CO-Bench Flow shop scheduling (Taillard instances); https://huggingface.co/datasets/CO-Bench/CO-Bench,2026-07-01
tai100_5_05,5135,BEST_KNOWN,CO-Bench/CO-Bench Flow shop scheduling (Taillard instances); https://huggingface.co/datasets/CO-Bench/CO-Bench,2026-07-01
tai100_5_06,5246,BEST_KNOWN,CO-Bench/CO-Bench Flow shop scheduling (Taillard instances); https://huggingface.co/datasets/CO-Bench/CO-Bench,2026-07-01
tai100_5_07,5106,BEST_KNOWN,CO-Bench/CO-Bench Flow shop scheduling (Taillard instances); https://huggingface.co/datasets/CO-Bench/CO-Bench,2026-07-01
tai100_5_08,5454,BEST_KNOWN,CO-Bench/CO-Bench Flow shop scheduling (Taillard instances); https://huggingface.co/datasets/CO-Bench/CO-Bench,2026-07-01
tai100_5_09,5328,BEST_KNOWN,CO-Bench/CO-Bench Flow shop scheduling (Taillard instances); https://huggingface.co/datasets/CO-Bench/CO-Bench,2026-07-01
tai200_10_00,10868,BEST_KNOWN,CO-Bench/CO-Bench Flow shop scheduling (Taillard instances); https://huggingface.co/datasets/CO-Bench/CO-Bench,2026-07-01
tai200_10_01,10494,BEST_KNOWN,CO-Bench/CO-Bench Flow shop scheduling (Taillard instances); https://huggingface.co/datasets/CO-Bench/CO-Bench,2026-07-01
tai200_10_02,10922,BEST_KNOWN,CO-Bench/CO-Bench Flow shop scheduling (Taillard instances); https://huggingface.co/datasets/CO-Bench/CO-Bench,2026-07-01
tai200_10_03,10889,BEST_KNOWN,CO-Bench/CO-Bench Flow shop scheduling (Taillard instances); https://huggingface.co/datasets/CO-Bench/CO-Bench,2026-07-01
tai200_10_04,10524,BEST_KNOWN,CO-Bench/CO-Bench Flow shop scheduling (Taillard instances); https://huggingface.co/datasets/CO-Bench/CO-Bench,2026-07-01
tai200_10_05,10331,BEST_KNOWN,CO-Bench/CO-Bench Flow shop scheduling (Taillard instances); https://huggingface.co/datasets/CO-Bench/CO-Bench,2026-07-01
tai200_10_06,10857,BEST_KNOWN,CO-Bench/CO-Bench Flow shop scheduling (Taillard instances); https://huggingface.co/datasets/CO-Bench/CO-Bench,2026-07-01
tai200_10_07,10731,BEST_KNOWN,CO-Bench/CO-Bench Flow shop scheduling (Taillard instances); https://huggingface.co/datasets/CO-Bench/CO-Bench,2026-07-01
tai200_10_08,10438,BEST_KNOWN,CO-Bench/CO-Bench Flow shop scheduling (Taillard instances); https://huggingface.co/datasets/CO-Bench/CO-Bench,2026-07-01
tai200_10_09,10676,BEST_KNOWN,CO-Bench/CO-Bench Flow shop scheduling (Taillard instances); https://huggingface.co/datasets/CO-Bench/CO-Bench,2026-07-01
tai200_20_00,11294,BEST_KNOWN,CO-Bench/CO-Bench Flow shop scheduling (Taillard instances); https://huggingface.co/datasets/CO-Bench/CO-Bench,2026-07-01
tai200_20_01,11420,BEST_KNOWN,CO-Bench/CO-Bench Flow shop scheduling (Taillard instances); https://huggingface.co/datasets/CO-Bench/CO-Bench,2026-07-01
tai200_20_02,11446,BEST_KNOWN,CO-Bench/CO-Bench Flow shop scheduling (Taillard instances); https://huggingface.co/datasets/CO-Bench/CO-Bench,2026-07-01
tai200_20_03,11347,BEST_KNOWN,CO-Bench/CO-Bench Flow shop scheduling (Taillard instances); https://huggingface.co/datasets/CO-Bench/CO-Bench,2026-07-01
tai200_20_04,11311,BEST_KNOWN,CO-Bench/CO-Bench Flow shop scheduling (Taillard instances); https://huggingface.co/datasets/CO-Bench/CO-Bench,2026-07-01
tai200_20_05,11282,BEST_KNOWN,CO-Bench/CO-Bench Flow shop scheduling (Taillard instances); https://huggingface.co/datasets/CO-Bench/CO-Bench,2026-07-01
tai200_20_06,11456,BEST_KNOWN,CO-Bench/CO-Bench Flow shop scheduling (Taillard instances); https://huggingface.co/datasets/CO-Bench/CO-Bench,2026-07-01
tai200_20_07,11415,BEST_KNOWN,CO-Bench/CO-Bench Flow shop scheduling (Taillard instances); https://huggingface.co/datasets/CO-Bench/CO-Bench,2026-07-01
tai200_20_08,11343,BEST_KNOWN,CO-Bench/CO-Bench Flow shop scheduling (Taillard instances); https://huggingface.co/datasets/CO-Bench/CO-Bench,2026-07-01
tai200_20_09,11422,BEST_KNOWN,CO-Bench/CO-Bench Flow shop scheduling (Taillard instances); https://huggingface.co/datasets/CO-Bench/CO-Bench,2026-07-01
tai20_10_00,1582,BEST_KNOWN,CO-Bench/CO-Bench Flow shop scheduling (Taillard instances); https://huggingface.co/datasets/CO-Bench/CO-Bench,2026-07-01
tai20_10_01,1659,BEST_KNOWN,CO-Bench/CO-Bench Flow shop scheduling (Taillard instances); https://huggingface.co/datasets/CO-Bench/CO-Bench,2026-07-01
tai20_10_02,1496,BEST_KNOWN,CO-Bench/CO-Bench Flow shop scheduling (Taillard instances); https://huggingface.co/datasets/CO-Bench/CO-Bench,2026-07-01
tai20_10_03,1378,BEST_KNOWN,CO-Bench/CO-Bench Flow shop scheduling (Taillard instances); https://huggingface.co/datasets/CO-Bench/CO-Bench,2026-07-01
tai20_10_04,1419,BEST_KNOWN,CO-Bench/CO-Bench Flow shop scheduling (Taillard instances); https://huggingface.co/datasets/CO-Bench/CO-Bench,2026-07-01
tai20_10_05,1397,BEST_KNOWN,CO-Bench/CO-Bench Flow shop scheduling (Taillard instances); https://huggingface.co/datasets/CO-Bench/CO-Bench,2026-07-01
tai20_10_06,1484,BEST_KNOWN,CO-Bench/CO-Bench Flow shop scheduling (Taillard instances); https://huggingface.co/datasets/CO-Bench/CO-Bench,2026-07-01
tai20_10_07,1538,BEST_KNOWN,CO-Bench/CO-Bench Flow shop scheduling (Taillard instances); https://huggingface.co/datasets/CO-Bench/CO-Bench,2026-07-01
tai20_10_08,1593,BEST_KNOWN,CO-Bench/CO-Bench Flow shop scheduling (Taillard instances); https://huggingface.co/datasets/CO-Bench/CO-Bench,2026-07-01
tai20_10_09,1591,BEST_KNOWN,CO-Bench/CO-Bench Flow shop scheduling (Taillard instances); https://huggingface.co/datasets/CO-Bench/CO-Bench,2026-07-01
tai20_20_00,2297,BEST_KNOWN,CO-Bench/CO-Bench Flow shop scheduling (Taillard instances); https://huggingface.co/datasets/CO-Bench/CO-Bench,2026-07-01
tai20_20_01,2100,BEST_KNOWN,CO-Bench/CO-Bench Flow shop scheduling (Taillard instances); https://huggingface.co/datasets/CO-Bench/CO-Bench,2026-07-01
tai20_20_02,2326,BEST_KNOWN,CO-Bench/CO-Bench Flow shop scheduling (Taillard instances); https://huggingface.co/datasets/CO-Bench/CO-Bench,2026-07-01
tai20_20_03,2223,BEST_KNOWN,CO-Bench/CO-Bench Flow shop scheduling (Taillard instances); https://huggingface.co/datasets/CO-Bench/CO-Bench,2026-07-01
tai20_20_04,2291,BEST_KNOWN,CO-Bench/CO-Bench Flow shop scheduling (Taillard instances); https://huggingface.co/datasets/CO-Bench/CO-Bench,2026-07-01
tai20_20_05,2226,BEST_KNOWN,CO-Bench/CO-Bench Flow shop scheduling (Taillard instances); https://huggingface.co/datasets/CO-Bench/CO-Bench,2026-07-01
tai20_20_06,2273,BEST_KNOWN,CO-Bench/CO-Bench Flow shop scheduling (Taillard instances); https://huggingface.co/datasets/CO-Bench/CO-Bench,2026-07-01
tai20_20_07,2200,BEST_KNOWN,CO-Bench/CO-Bench Flow shop scheduling (Taillard instances); https://huggingface.co/datasets/CO-Bench/CO-Bench,2026-07-01
tai20_20_08,2237,BEST_KNOWN,CO-Bench/CO-Bench Flow shop scheduling (Taillard instances); https://huggingface.co/datasets/CO-Bench/CO-Bench,2026-07-01
tai20_20_09,2178,BEST_KNOWN,CO-Bench/CO-Bench Flow shop scheduling (Taillard instances); https://huggingface.co/datasets/CO-Bench/CO-Bench,2026-07-01
tai20_5_00,1278,BEST_KNOWN,CO-Bench/CO-Bench Flow shop scheduling (Taillard instances); https://huggingface.co/datasets/CO-Bench/CO-Bench,2026-07-01
tai20_5_01,1359,BEST_KNOWN,CO-Bench/CO-Bench Flow shop scheduling (Taillard instances); https://huggingface.co/datasets/CO-Bench/CO-Bench,2026-07-01
tai20_5_02,1081,BEST_KNOWN,CO-Bench/CO-Bench Flow shop scheduling (Taillard instances); https://huggingface.co/datasets/CO-Bench/CO-Bench,2026-07-01
tai20_5_03,1293,BEST_KNOWN,CO-Bench/CO-Bench Flow shop scheduling (Taillard instances); https://huggingface.co/datasets/CO-Bench/CO-Bench,2026-07-01
tai20_5_04,1236,BEST_KNOWN,CO-Bench/CO-Bench Flow shop scheduling (Taillard instances); https://huggingface.co/datasets/CO-Bench/CO-Bench,2026-07-01
tai20_5_05,1195,BEST_KNOWN,CO-Bench/CO-Bench Flow shop scheduling (Taillard instances); https://huggingface.co/datasets/CO-Bench/CO-Bench,2026-07-01
tai20_5_06,1239,BEST_KNOWN,CO-Bench/CO-Bench Flow shop scheduling (Taillard instances); https://huggingface.co/datasets/CO-Bench/CO-Bench,2026-07-01
tai20_5_07,1206,BEST_KNOWN,CO-Bench/CO-Bench Flow shop scheduling (Taillard instances); https://huggingface.co/datasets/CO-Bench/CO-Bench,2026-07-01
tai20_5_08,1230,BEST_KNOWN,CO-Bench/CO-Bench Flow shop scheduling (Taillard instances); https://huggingface.co/datasets/CO-Bench/CO-Bench,2026-07-01
tai20_5_09,1108,BEST_KNOWN,CO-Bench/CO-Bench Flow shop scheduling (Taillard instances); https://huggingface.co/datasets/CO-Bench/CO-Bench,2026-07-01
tai500_20_00,26189,BEST_KNOWN,CO-Bench/CO-Bench Flow shop scheduling (Taillard instances); https://huggingface.co/datasets/CO-Bench/CO-Bench,2026-07-01
tai500_20_01,26629,BEST_KNOWN,CO-Bench/CO-Bench Flow shop scheduling (Taillard instances); https://huggingface.co/datasets/CO-Bench/CO-Bench,2026-07-01
tai500_20_02,26458,BEST_KNOWN,CO-Bench/CO-Bench Flow shop scheduling (Taillard instances); https://huggingface.co/datasets/CO-Bench/CO-Bench,2026-07-01
tai500_20_03,26549,BEST_KNOWN,CO-Bench/CO-Bench Flow shop scheduling (Taillard instances); https://huggingface.co/datasets/CO-Bench/CO-Bench,2026-07-01
tai500_20_04,26404,BEST_KNOWN,CO-Bench/CO-Bench Flow shop scheduling (Taillard instances); https://huggingface.co/datasets/CO-Bench/CO-Bench,2026-07-01
tai500_20_05,26581,BEST_KNOWN,CO-Bench/CO-Bench Flow shop scheduling (Taillard instances); https://huggingface.co/datasets/CO-Bench/CO-Bench,2026-07-01
tai500_20_06,26461,BEST_KNOWN,CO-Bench/CO-Bench Flow shop scheduling (Taillard instances); https://huggingface.co/datasets/CO-Bench/CO-Bench,2026-07-01
tai500_20_07,26615,BEST_KNOWN,CO-Bench/CO-Bench Flow shop scheduling (Taillard instances); https://huggingface.co/datasets/CO-Bench/CO-Bench,2026-07-01
tai500_20_08,26083,BEST_KNOWN,CO-Bench/CO-Bench Flow shop scheduling (Taillard instances); https://huggingface.co/datasets/CO-Bench/CO-Bench,2026-07-01
tai500_20_09,26527,BEST_KNOWN,CO-Bench/CO-Bench Flow shop scheduling (Taillard instances); https://huggingface.co/datasets/CO-Bench/CO-Bench,2026-07-01
tai50_10_00,3025,BEST_KNOWN,CO-Bench/CO-Bench Flow shop scheduling (Taillard instances); https://huggingface.co/datasets/CO-Bench/CO-Bench,2026-07-01
tai50_10_01,2892,BEST_KNOWN,CO-Bench/CO-Bench Flow shop scheduling (Taillard instances); https://huggingface.co/datasets/CO-Bench/CO-Bench,2026-07-01
tai50_10_02,2864,BEST_KNOWN,CO-Bench/CO-Bench Flow shop scheduling (Taillard instances); https://huggingface.co/datasets/CO-Bench/CO-Bench,2026-07-01
tai50_10_03,3064,BEST_KNOWN,CO-Bench/CO-Bench Flow shop scheduling (Taillard instances); https://huggingface.co/datasets/CO-Bench/CO-Bench,2026-07-01
tai50_10_04,2986,BEST_KNOWN,CO-Bench/CO-Bench Flow shop scheduling (Taillard instances); https://huggingface.co/datasets/CO-Bench/CO-Bench,2026-07-01
tai50_10_05,3006,BEST_KNOWN,CO-Bench/CO-Bench Flow shop scheduling (Taillard instances); https://huggingface.co/datasets/CO-Bench/CO-Bench,2026-07-01
tai50_10_06,3107,BEST_KNOWN,CO-Bench/CO-Bench Flow shop scheduling (Taillard instances); https://huggingface.co/datasets/CO-Bench/CO-Bench,2026-07-01
tai50_10_07,3039,BEST_KNOWN,CO-Bench/CO-Bench Flow shop scheduling (Taillard instances); https://huggingface.co/datasets/CO-Bench/CO-Bench,2026-07-01
tai50_10_08,2902,BEST_KNOWN,CO-Bench/CO-Bench Flow shop scheduling (Taillard instances); https://huggingface.co/datasets/CO-Bench/CO-Bench,2026-07-01
tai50_10_09,3091,BEST_KNOWN,CO-Bench/CO-Bench Flow shop scheduling (Taillard instances); https://huggingface.co/datasets/CO-Bench/CO-Bench,2026-07-01
tai50_20_00,3875,BEST_KNOWN,CO-Bench/CO-Bench Flow shop scheduling (Taillard instances); https://huggingface.co/datasets/CO-Bench/CO-Bench,2026-07-01
tai50_20_01,3715,BEST_KNOWN,CO-Bench/CO-Bench Flow shop scheduling (Taillard instances); https://huggingface.co/datasets/CO-Bench/CO-Bench,2026-07-01
tai50_20_02,3668,BEST_KNOWN,CO-Bench/CO-Bench Flow shop scheduling (Taillard instances); https://huggingface.co/datasets/CO-Bench/CO-Bench,2026-07-01
tai50_20_03,3752,BEST_KNOWN,CO-Bench/CO-Bench Flow shop scheduling (Taillard instances); https://huggingface.co/datasets/CO-Bench/CO-Bench,2026-07-01
tai50_20_04,3635,BEST_KNOWN,CO-Bench/CO-Bench Flow shop scheduling (Taillard instances); https://huggingface.co/datasets/CO-Bench/CO-Bench,2026-07-01
tai50_20_05,3698,BEST_KNOWN,CO-Bench/CO-Bench Flow shop scheduling (Taillard instances); https://huggingface.co/datasets/CO-Bench/CO-Bench,2026-07-01
tai50_20_06,3716,BEST_KNOWN,CO-Bench/CO-Bench Flow shop scheduling (Taillard instances); https://huggingface.co/datasets/CO-Bench/CO-Bench,2026-07-01
tai50_20_07,3709,BEST_KNOWN,CO-Bench/CO-Bench Flow shop scheduling (Taillard instances); https://huggingface.co/datasets/CO-Bench/CO-Bench,2026-07-01
tai50_20_08,3765,BEST_KNOWN,CO-Bench/CO-Bench Flow shop scheduling (Taillard instances); https://huggingface.co/datasets/CO-Bench/CO-Bench,2026-07-01
tai50_20_09,3777,BEST_KNOWN,CO-Bench/CO-Bench Flow shop scheduling (Taillard instances); https://huggingface.co/datasets/CO-Bench/CO-Bench,2026-07-01
tai50_5_00,2724,BEST_KNOWN,CO-Bench/CO-Bench Flow shop scheduling (Taillard instances); https://huggingface.co/datasets/CO-Bench/CO-Bench,2026-07-01
tai50_5_01,2834,BEST_KNOWN,CO-Bench/CO-Bench Flow shop scheduling (Taillard instances); https://huggingface.co/datasets/CO-Bench/CO-Bench,2026-07-01
tai50_5_02,2621,BEST_KNOWN,CO-Bench/CO-Bench Flow shop scheduling (Taillard instances); https://huggingface.co/datasets/CO-Bench/CO-Bench,2026-07-01
tai50_5_03,2751,BEST_KNOWN,CO-Bench/CO-Bench Flow shop scheduling (Taillard instances); https://huggingface.co/datasets/CO-Bench/CO-Bench,2026-07-01
tai50_5_04,2863,BEST_KNOWN,CO-Bench/CO-Bench Flow shop scheduling (Taillard instances); https://huggingface.co/datasets/CO-Bench/CO-Bench,2026-07-01
tai50_5_05,2829,BEST_KNOWN,CO-Bench/CO-Bench Flow shop scheduling (Taillard instances); https://huggingface.co/datasets/CO-Bench/CO-Bench,2026-07-01
tai50_5_06,2725,BEST_KNOWN,CO-Bench/CO-Bench Flow shop scheduling (Taillard instances); https://huggingface.co/datasets/CO-Bench/CO-Bench,2026-07-01
tai50_5_07,2683,BEST_KNOWN,CO-Bench/CO-Bench Flow shop scheduling (Taillard instances); https://huggingface.co/datasets/CO-Bench/CO-Bench,2026-07-01
tai50_5_08,2552,BEST_KNOWN,CO-Bench/CO-Bench Flow shop scheduling (Taillard instances); https://huggingface.co/datasets/CO-Bench/CO-Bench,2026-07-01
tai50_5_09,2782,BEST_KNOWN,CO-Bench/CO-Bench Flow shop scheduling (Taillard instances); https://huggingface.co/datasets/CO-Bench/CO-Bench,2026-07-01
